Tibia - Graphical Multi-User-Dungeon
Löschen alter User gestartet: Wed Feb  1 00:13:00 2006
-------------------------------------------------------------------------------
7939201: seit mehr als 30 Tagen gelöscht => LOESCHEN
7941657: seit mehr als 30 Tagen gelöscht => LOESCHEN
7942957: seit mehr als 30 Tagen gelöscht => LOESCHEN
7946850: seit mehr als 30 Tagen gelöscht => LOESCHEN
7950358: seit mehr als 30 Tagen gelöscht => LOESCHEN
7952581: seit mehr als 30 Tagen gelöscht => LOESCHEN
7953719: seit mehr als 30 Tagen gelöscht => LOESCHEN
7953972: seit mehr als 30 Tagen gelöscht => LOESCHEN
7954862: seit mehr als 30 Tagen gelöscht => LOESCHEN
7956783: seit mehr als 30 Tagen gelöscht => LOESCHEN
7961342: seit mehr als 30 Tagen gelöscht => LOESCHEN
7961650: seit mehr als 30 Tagen gelöscht => LOESCHEN
7964018: seit mehr als 30 Tagen gelöscht => LOESCHEN
7965940: seit mehr als 30 Tagen gelöscht => LOESCHEN
7966689: seit mehr als 30 Tagen gelöscht => LOESCHEN
7967393: seit mehr als 30 Tagen gelöscht => LOESCHEN
7969566: seit mehr als 30 Tagen gelöscht => LOESCHEN
7970266: seit mehr als 30 Tagen gelöscht => LOESCHEN
7987397: seit mehr als 30 Tagen gelöscht => LOESCHEN
8004560: seit mehr als 30 Tagen gelöscht => LOESCHEN
8005715: seit mehr als 30 Tagen gelöscht => LOESCHEN
8007135: seit mehr als 30 Tagen gelöscht => LOESCHEN
8007555: seit mehr als 30 Tagen gelöscht => LOESCHEN
8015937: seit mehr als 30 Tagen gelöscht => LOESCHEN
8017917: seit mehr als 30 Tagen gelöscht => LOESCHEN
8018640: seit mehr als 30 Tagen gelöscht => LOESCHEN
8023184: seit mehr als 30 Tagen gelöscht => LOESCHEN
8029228: seit mehr als 30 Tagen gelöscht => LOESCHEN
8034660: seit mehr als 30 Tagen gelöscht => LOESCHEN
8038964: seit mehr als 30 Tagen gelöscht => LOESCHEN
8041062: seit mehr als 30 Tagen gelöscht => LOESCHEN
8042405: seit mehr als 30 Tagen gelöscht => LOESCHEN
8044498: seit mehr als 30 Tagen gelöscht => LOESCHEN
8047513: seit mehr als 30 Tagen gelöscht => LOESCHEN
8049336: seit mehr als 30 Tagen gelöscht => LOESCHEN
8049756: seit mehr als 30 Tagen gelöscht => LOESCHEN
