Tibia - Graphical Multi-User-Dungeon
Löschen alter User gestartet: Wed Mar  1 00:13:00 2006
-------------------------------------------------------------------------------
TQueryManagerConnection::connect: Anmeldung fehlgeschlagen.
7941200: seit mehr als 30 Tagen gelöscht => LOESCHEN
7941353: seit mehr als 30 Tagen gelöscht => LOESCHEN
7943592: seit mehr als 30 Tagen gelöscht => LOESCHEN
7944266: seit mehr als 30 Tagen gelöscht => LOESCHEN
7944396: seit mehr als 30 Tagen gelöscht => LOESCHEN
7944513: seit mehr als 30 Tagen gelöscht => LOESCHEN
7945440: seit mehr als 30 Tagen gelöscht => LOESCHEN
7952034: seit mehr als 30 Tagen gelöscht => LOESCHEN
7955086: seit mehr als 30 Tagen gelöscht => LOESCHEN
7961838: seit mehr als 30 Tagen gelöscht => LOESCHEN
7962357: seit mehr als 30 Tagen gelöscht => LOESCHEN
7962979: seit mehr als 30 Tagen gelöscht => LOESCHEN
7970218: seit mehr als 30 Tagen gelöscht => LOESCHEN
7970469: seit mehr als 30 Tagen gelöscht => LOESCHEN
7974098: seit mehr als 30 Tagen gelöscht => LOESCHEN
7984863: seit mehr als 30 Tagen gelöscht => LOESCHEN
7987874: seit mehr als 30 Tagen gelöscht => LOESCHEN
8001865: seit mehr als 30 Tagen gelöscht => LOESCHEN
8015857: seit mehr als 30 Tagen gelöscht => LOESCHEN
8016813: seit mehr als 30 Tagen gelöscht => LOESCHEN
8020323: seit mehr als 30 Tagen gelöscht => LOESCHEN
8028773: seit mehr als 30 Tagen gelöscht => LOESCHEN
8031682: seit mehr als 30 Tagen gelöscht => LOESCHEN
8039921: seit mehr als 30 Tagen gelöscht => LOESCHEN
8070116: seit mehr als 30 Tagen gelöscht => LOESCHEN
8074684: seit mehr als 30 Tagen gelöscht => LOESCHEN
8105621: seit mehr als 30 Tagen gelöscht => LOESCHEN
8109016: seit mehr als 30 Tagen gelöscht => LOESCHEN
8121428: seit mehr als 30 Tagen gelöscht => LOESCHEN
8123262: seit mehr als 30 Tagen gelöscht => LOESCHEN
8124631: seit mehr als 30 Tagen gelöscht => LOESCHEN
8140364: seit mehr als 30 Tagen gelöscht => LOESCHEN
8142104: seit mehr als 30 Tagen gelöscht => LOESCHEN
8142230: seit mehr als 30 Tagen gelöscht => LOESCHEN
8157002: seit mehr als 30 Tagen gelöscht => LOESCHEN
8157743: seit mehr als 30 Tagen gelöscht => LOESCHEN
8159980: seit mehr als 30 Tagen gelöscht => LOESCHEN
8164847: seit mehr als 30 Tagen gelöscht => LOESCHEN
8183757: seit mehr als 30 Tagen gelöscht => LOESCHEN
8185703: seit mehr als 30 Tagen gelöscht => LOESCHEN
8193133: seit mehr als 30 Tagen gelöscht => LOESCHEN
8193874: seit mehr als 30 Tagen gelöscht => LOESCHEN
8204454: seit mehr als 30 Tagen gelöscht => LOESCHEN
8211668: seit mehr als 30 Tagen gelöscht => LOESCHEN
8212940: seit mehr als 30 Tagen gelöscht => LOESCHEN
8248576: seit mehr als 30 Tagen gelöscht => LOESCHEN
8280412: seit mehr als 30 Tagen gelöscht => LOESCHEN
8301803: seit mehr als 30 Tagen gelöscht => LOESCHEN
8316160: seit mehr als 30 Tagen gelöscht => LOESCHEN
8319944: seit mehr als 30 Tagen gelöscht => LOESCHEN
8334192: seit mehr als 30 Tagen gelöscht => LOESCHEN
8351252: seit mehr als 30 Tagen gelöscht => LOESCHEN
8355379: seit mehr als 30 Tagen gelöscht => LOESCHEN
8373047: seit mehr als 30 Tagen gelöscht => LOESCHEN
8386123: seit mehr als 30 Tagen gelöscht => LOESCHEN
8426404: seit mehr als 30 Tagen gelöscht => LOESCHEN
8438898: seit mehr als 30 Tagen gelöscht => LOESCHEN
